Node,PageRank
10947,1.386678779459007e-05
1171512,1.386678779459007e-05
2049540,1.386678779459007e-05
2069433,1.386678779459007e-05
2115042,1.386678779459007e-05
2198427,1.386678779459007e-05
2240646,1.386678779459007e-05
2610375,1.386678779459007e-05
3095121,1.386678779459007e-05
5602983,1.386678779459007e-05
8705568,1.386678779459007e-05
10285389,1.386678779459007e-05
10936431,1.386678779459007e-05
12029505,1.386678779459007e-05
12430941,1.386678779459007e-05
12509817,1.386678779459007e-05
13340841,1.386678779459007e-05
13886607,1.386678779459007e-05
14684319,1.895045526081667e-05
15130929,1.386678779459007e-05
15380028,1.386678779459007e-05
15910815,1.386678779459007e-05
16236972,1.386678779459007e-05
16348311,1.386678779459007e-05
16626384,1.386678779459007e-05
16627668,1.386678779459007e-05
16862376,1.386678779459007e-05
17970147,1.386678779459007e-05
18406686,1.386678779459007e-05
19537293,1.386678779459007e-05
19776342,1.386678779459007e-05
19970403,1.386678779459007e-05
20168406,1.386678779459007e-05
20513982,1.386678779459007e-05
20576796,1.386678779459007e-05
20764074,1.386678779459007e-05
21066285,1.386678779459007e-05
21080880,2.1429388304265872e-05
21261807,2.151102812123818e-05
22150680,1.386678779459007e-05
22665108,1.386678779459007e-05
23048490,1.386678779459007e-05
23566857,1.386678779459007e-05
24041691,1.386678779459007e-05
25128183,1.386678779459007e-05
25336764,1.386678779459007e-05
25664766,1.386678779459007e-05
26803155,1.386678779459007e-05
27200898,1.386678779459007e-05
27577428,1.386678779459007e-05
27638547,2.404611758863164e-05
27846438,1.386678779459007e-05
28806048,1.386678779459007e-05
29354781,1.386678779459007e-05
30157203,1.386678779459007e-05
31306305,1.386678779459007e-05
31743726,2.0184759946042122e-05
32811567,1.386678779459007e-05
33140073,1.386678779459007e-05
33290388,1.386678779459007e-05
33853905,1.386678779459007e-05
34331334,1.386678779459007e-05
34553562,7.721151029620598e-05
35921253,1.386678779459007e-05
36778032,1.386678779459007e-05
37158891,1.386678779459007e-05
37469529,1.386678779459007e-05
37494792,2.367760861134582e-05
38114640,1.386678779459007e-05
38213757,1.386678779459007e-05
38628177,1.386678779459007e-05
39204267,1.386678779459007e-05
39500745,1.386678779459007e-05
39985086,1.386678779459007e-05
40485066,1.386678779459007e-05
42542043,1.386678779459007e-05
43652034,1.386678779459007e-05
44046132,1.386678779459007e-05
44613651,1.386678779459007e-05
45083616,1.386678779459007e-05
45280248,1.386678779459007e-05
46775022,1.386678779459007e-05
47640069,1.386678779459007e-05
47827059,1.386678779459007e-05
47880678,1.386678779459007e-05
48246075,1.386678779459007e-05
48281037,1.386678779459007e-05
48346191,1.386678779459007e-05
49160988,1.386678779459007e-05
49615440,1.386678779459007e-05
50148480,1.386678779459007e-05
51284655,1.386678779459007e-05
51956112,1.386678779459007e-05
52207656,1.386678779459007e-05
52505487,1.386678779459007e-05
52555824,1.386678779459007e-05
52648329,2.4607356479596527e-05
53007006,1.386678779459007e-05
227736,1.386678779459007e-05
447645,1.386678779459007e-05
2759694,1.386678779459007e-05
3330525,1.386678779459007e-05
6330993,1.386678779459007e-05
6387210,1.386678779459007e-05
7065495,1.386678779459007e-05
8368971,1.386678779459007e-05
9080286,1.386678779459007e-05
9237837,1.386678779459007e-05
10208976,1.386678779459007e-05
10350753,1.386678779459007e-05
10383900,1.386678779459007e-05
10668858,1.386678779459007e-05
10696191,1.386678779459007e-05
10802769,1.386678779459007e-05
10866612,1.386678779459007e-05
10940010,1.386678779459007e-05
10954437,2.3063852397632678e-05
11058132,1.386678779459007e-05
12385032,1.386678779459007e-05
12721923,1.386678779459007e-05
13394313,1.386678779459007e-05
13653753,1.386678779459007e-05
13785504,2.3720596962362653e-05
14067876,1.386678779459007e-05
14133921,1.386678779459007e-05
14307822,1.386678779459007e-05
14376933,1.386678779459007e-05
14653482,1.386678779459007e-05
15299082,1.386678779459007e-05
15390984,1.386678779459007e-05
17252550,1.386678779459007e-05
18278154,1.386678779459007e-05
18698262,1.386678779459007e-05
19202391,1.386678779459007e-05
20398176,1.386678779459007e-05
20428803,1.386678779459007e-05
21184326,2.269230700471216e-05
21704589,1.386678779459007e-05
21879159,1.386678779459007e-05
21985662,1.386678779459007e-05
22263888,1.386678779459007e-05
23462244,1.386678779459007e-05
24469062,1.386678779459007e-05
25296111,1.386678779459007e-05
25296963,1.386678779459007e-05
26061594,1.386678779459007e-05
26916930,1.386678779459007e-05
27197724,1.386678779459007e-05
30077655,1.386678779459007e-05
31332780,1.386678779459007e-05
32718927,1.386678779459007e-05
34222092,1.386678779459007e-05
35613030,1.386678779459007e-05
35697468,1.386678779459007e-05
35999784,1.386678779459007e-05
36115854,1.386678779459007e-05
36588879,1.386678779459007e-05
37444452,1.386678779459007e-05
37530432,1.386678779459007e-05
37805661,1.386678779459007e-05
38750490,1.386678779459007e-05
39041991,1.386678779459007e-05
39073662,1.386678779459007e-05
40326369,1.386678779459007e-05
40699092,1.386678779459007e-05
40932612,1.386678779459007e-05
42164775,1.386678779459007e-05
42524106,1.386678779459007e-05
42818598,1.386678779459007e-05
42824016,1.386678779459007e-05
42945366,2.0205056494746747e-05
43433091,1.386678779459007e-05
43627335,1.386678779459007e-05
43673763,1.386678779459007e-05
44196441,1.386678779459007e-05
44427603,1.386678779459007e-05
44499558,1.386678779459007e-05
44694738,1.386678779459007e-05
44944422,1.386678779459007e-05
45646365,1.386678779459007e-05
45769206,1.386678779459007e-05
46399425,1.386678779459007e-05
47874435,1.386678779459007e-05
48616683,1.386678779459007e-05
48635469,1.386678779459007e-05
48820965,1.386678779459007e-05
49294758,1.386678779459007e-05
49551960,1.386678779459007e-05
49852725,1.386678779459007e-05
52199277,1.386678779459007e-05
47349615,1.386678779459007e-05
8283921,1.386678779459007e-05
3281040,1.386678779459007e-05
17656830,3.126431023149748e-05
819471,1.386678779459007e-05
36334986,1.386678779459007e-05
43356339,1.386678779459007e-05
14154792,1.386678779459007e-05
39485955,1.386678779459007e-05
46470666,1.386678779459007e-05
19723224,1.386678779459007e-05
48165624,1.386678779459007e-05
27662046,1.386678779459007e-05
16022391,1.386678779459007e-05
15912642,1.386678779459007e-05
30791919,1.386678779459007e-05
48095877,1.386678779459007e-05
15661713,1.386678779459007e-05
15291180,1.386678779459007e-05
15743640,1.386678779459007e-05
37252260,1.386678779459007e-05
29195481,1.386678779459007e-05
12610878,1.386678779459007e-05
22213539,1.386678779459007e-05
45221700,1.386678779459007e-05
52503177,1.386678779459007e-05
42014055,1.386678779459007e-05
44303238,2.40303796593553e-05
