Node,PageRank
2832090,1.1456197229891517e-05
17061054,1.1456197229891517e-05
19761484,1.1456197229891517e-05
49743800,1.1456197229891517e-05
1037364,1.1456197229891517e-05
2371072,1.1456197229891517e-05
3049720,1.1456197229891517e-05
6407658,1.1456197229891517e-05
6817862,1.1456197229891517e-05
7447564,1.1456197229891517e-05
12492450,1.1456197229891517e-05
15445592,1.1456197229891517e-05
17786048,1.1456197229891517e-05
17939780,1.1456197229891517e-05
18489438,1.1456197229891517e-05
23267452,1.1456197229891517e-05
36281012,1.1456197229891517e-05
41204670,1.1456197229891517e-05
44094878,1.1456197229891517e-05
46968112,1.1456197229891517e-05
10190,1.1456197229891517e-05
5479894,1.2860856489728857e-05
7522010,1.2860856489728857e-05
11744732,1.2860856489728857e-05
14582756,1.2860856489728857e-05
15617240,1.2860856489728857e-05
18964676,1.2860856489728857e-05
19378024,1.2860856489728857e-05
19655930,1.2860856489728857e-05
21823076,1.4021020048856947e-05
22112310,1.2860856489728857e-05
32507652,1.2860856489728857e-05
34872570,1.2860856489728857e-05
36285090,1.2860856489728857e-05
36663054,1.2860856489728857e-05
38106224,1.2860856489728857e-05
43600558,1.2860856489728857e-05
44511812,1.2860856489728857e-05
45140902,1.2860856489728857e-05
47099026,1.2860856489728857e-05
48700670,1.2860856489728857e-05
49086254,1.2860856489728857e-05
51633272,1.2860856489728857e-05
5845250,1.2860856489728857e-05
7533216,1.2860856489728857e-05
8438160,1.2860856489728857e-05
14661698,1.2860856489728857e-05
15402734,1.2860856489728857e-05
16776842,1.2860856489728857e-05
17081060,1.2860856489728857e-05
18562864,1.2860856489728857e-05
19231264,1.2860856489728857e-05
19496644,1.2860856489728857e-05
21798502,1.2860856489728857e-05
21803410,1.2860856489728857e-05
23116170,1.5797303532074927e-05
24785596,1.2860856489728857e-05
26969338,1.2860856489728857e-05
28535700,1.2860856489728857e-05
29476272,1.2860856489728857e-05
34078552,1.2860856489728857e-05
48496584,1.2860856489728857e-05
51518954,1.2860856489728857e-05
12356,1.2860856489728857e-05
10867102,1.3014089365173704e-06
15260154,1.2358892212285838e-05
23634348,1.2358892212285838e-05
43324246,1.2358892212285838e-05
12884,1.2358892212285838e-05
21166584,1.2358892212285838e-05
24775800,1.2358892212285838e-05
36982342,1.2358892212285838e-05
40171890,1.2358892212285838e-05
33838796,1.2358892212285838e-05
12377596,1.145619722989151e-05
15072818,1.145619722989151e-05
36436954,1.145619722989151e-05
42046484,1.145619722989151e-05
50333288,1.145619722989151e-05
52913124,1.145619722989151e-05
12137782,1.145619722989151e-05
13476168,1.145619722989151e-05
21012168,1.145619722989151e-05
35819222,1.145619722989151e-05
52557936,1.145619722989151e-05
13354,1.145619722989151e-05
29388256,1.145619722989151e-05
51192574,1.145619722989151e-05
14108,1.145619722989151e-05
18584978,1.145619722989151e-05
969084,1.5192360400250531e-05
1860678,1.5192360400250531e-05
2736388,1.5192360400250531e-05
10245460,1.5192360400250531e-05
11136812,1.5192360400250531e-05
11958912,2.0211010491360222e-05
14818760,1.5192360400250531e-05
16907762,1.5192360400250531e-05
23124348,1.5192360400250531e-05
23410230,1.5192360400250531e-05
24242008,1.5192360400250531e-05
25099074,1.5192360400250531e-05
25870178,1.5192360400250531e-05
26651738,1.5192360400250531e-05
33774250,1.5192360400250531e-05
34184976,1.5192360400250531e-05
35675614,1.5192360400250531e-05
39104918,1.635766948881919e-05
40516668,1.5192360400250531e-05
42980772,1.5192360400250531e-05
44565080,1.5192360400250531e-05
46986888,1.5192360400250531e-05
47870962,1.8137320801257496e-05
499584,1.5192360400250531e-05
1570802,1.5192360400250531e-05
3253318,1.5192360400250531e-05
5847040,1.5192360400250531e-05
8043768,1.5192360400250531e-05
8228438,2.3117619345430995e-05
8873596,1.5192360400250531e-05
10405816,1.5192360400250531e-05
12008608,2.2033178715456148e-05
13284842,1.5192360400250531e-05
18177292,1.8137320801257496e-05
23281894,1.5192360400250531e-05
24675508,1.5192360400250531e-05
25477794,1.5192360400250531e-05
26751424,1.5192360400250531e-05
43975998,1.5192360400250531e-05
45428058,1.5192360400250531e-05
45832602,1.5192360400250531e-05
51662978,2.3106164059679628e-05
52172462,1.5192360400250531e-05
52228570,1.5192360400250531e-05
14800,1.5192360400250531e-05
5152652,8.786012717944665e-06
13047698,8.786012717944665e-06
16890080,8.786012717944665e-06
16991026,8.786012717944665e-06
33966898,8.786012717944665e-06
10220328,8.786012717944665e-06
12085470,8.786012717944665e-06
14205252,8.786012717944665e-06
17285670,8.786012717944665e-06
50221918,8.786012717944665e-06
52944552,8.786012717944665e-06
31334588,3.29818224566272e-06
11875000,3.29818224566272e-06
35256356,8.706309019726226e-06
52117950,8.706309019726226e-06
7346274,8.706309019726226e-06
14839358,8.706309019726226e-06
32389964,8.706309019726226e-06
35565620,8.706309019726226e-06
37162424,8.706309019726226e-06
24083030,5.888861082034896e-06
31249850,5.888861082034896e-06
36398800,5.888861082034896e-06
46434308,5.888861082034896e-06
52596262,5.888861082034896e-06
