Node,PageRank
10470,1.2320138420083122e-05
11292228,1.2320138420083122e-05
12330708,1.2320138420083122e-05
25994688,1.2320138420083122e-05
14075712,1.2320138420083122e-05
10339032,1.2320138420083122e-05
31969434,1.2320138420083122e-05
42962400,1.2320138420083122e-05
427614,1.3679987707241786e-05
568572,1.3679987707241786e-05
609012,1.3679987707241786e-05
919854,1.3679987707241786e-05
1033350,1.3679987707241786e-05
1478850,1.3679987707241786e-05
1571670,1.3679987707241786e-05
1931376,1.3679987707241786e-05
2326266,1.3679987707241786e-05
2950038,1.3679987707241786e-05
2966790,1.3679987707241786e-05
3024246,1.3679987707241786e-05
3060432,1.3679987707241786e-05
3251130,1.3679987707241786e-05
3638628,1.3679987707241786e-05
3929658,1.3679987707241786e-05
4169562,1.3679987707241786e-05
4415202,1.3679987707241786e-05
4772358,1.3679987707241786e-05
4825608,1.3679987707241786e-05
5026752,1.3679987707241786e-05
5587860,1.3679987707241786e-05
5739420,1.3679987707241786e-05
5767134,1.3679987707241786e-05
6045996,1.3679987707241786e-05
6440586,1.3679987707241786e-05
7669878,1.3679987707241786e-05
8345820,1.3679987707241786e-05
8524836,1.3679987707241786e-05
8555154,1.3679987707241786e-05
8895804,1.3679987707241786e-05
10166766,1.3679987707241786e-05
11113740,1.3679987707241786e-05
11341710,1.3679987707241786e-05
11394894,1.3679987707241786e-05
12091476,1.3679987707241786e-05
12624594,1.3679987707241786e-05
13982388,1.3679987707241786e-05
14113116,1.3679987707241786e-05
14383260,1.3679987707241786e-05
14912868,1.3679987707241786e-05
15159960,1.3679987707241786e-05
15197724,1.3679987707241786e-05
15305232,1.3679987707241786e-05
15498768,1.3679987707241786e-05
15527100,1.3679987707241786e-05
17821302,1.3679987707241786e-05
17827872,1.3679987707241786e-05
18046200,1.3679987707241786e-05
18367056,1.3679987707241786e-05
18947658,1.3679987707241786e-05
19367532,1.3679987707241786e-05
19814616,1.3679987707241786e-05
19844580,1.3679987707241786e-05
20418984,1.3679987707241786e-05
20754582,1.3679987707241786e-05
20840874,1.3679987707241786e-05
22281066,1.3679987707241786e-05
22390134,1.3679987707241786e-05
22396008,1.3679987707241786e-05
22930668,1.3679987707241786e-05
23074890,1.3679987707241786e-05
25299876,1.3679987707241786e-05
25580280,1.3679987707241786e-05
25635024,1.3679987707241786e-05
25682904,1.3679987707241786e-05
25683978,1.3679987707241786e-05
25854816,1.3679987707241786e-05
26181636,1.3679987707241786e-05
26196600,1.3679987707241786e-05
26717394,1.3679987707241786e-05
